A;MES;CATEGORIA;TIPO;DISTRITO;PROVINCIA;LUGAR ;SITIOTURISTICO;ACTIVIDAD;NUMVISITANTES;PROVENIENCIA;PRECIO
2017;enero;convencional;Con boleto ;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 69;Turismo;7574;Nacional;30
2017;enero;convencional;Con boleto ;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 70;Turismo;3094;extranjero;65
2017;enero;convencional;exonerado;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 71;Turismo;692;Nacional;30
2017;enero;convencional;exonerado;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 72;Turismo;0;extranjero;65
2017;enero;Aventura;Con boleto ;Yungay;Yungay;Llanganuco;nevados Yanapaccha, Chacraraju, Huandoy y Chopicalqui;Alpinismo;18;Nacional;30
2017;enero;Aventura;Con boleto ;Yungay;Yungay;Llanganuco;nevados Yanapaccha, Chacraraju, Huandoy y Chopicalqui;Alpinismo;399;extranjero;65
2017;enero;Aventura;exonerado;Yungay;Yungay;Llanganuco;nevados Yanapaccha, Chacraraju, Huandoy y Chopicalqui;Alpinismo;0;Nacional;30
2017;enero;Aventura;exonerado;Yungay;Yungay;Llanganuco;nevados Yanapaccha, Chacraraju, Huandoy y Chopicalqui;Alpinismo;101;extranjero;65
2017;enero;convencional;Con boleto ;Catac;Recuay;carpa;Pastoruri;Turismo;3728;Nacional;30
2017;enero;convencional;Con boleto ;Catac;Recuay;carpa;Pastoruri;Turismo;430;extranjero;65
2017;enero;convencional;exonerado;Catac;Recuay;carpa;Pastoruri;Turismo;320;Nacional;30
2017;enero;convencional;exonerado;Catac;Recuay;carpa;Pastoruri;Turismo;0;extranjero;65
2017;enero;Aventura;Con boleto ;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;Nacional;30
2017;enero;Aventura;Con boleto ;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;extranjero;65
2017;enero;Aventura;exonerado;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;Nacional;30
2017;enero;Aventura;exonerado;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;extranjero;65
2017;enero;convencional;Con boleto ;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;Nacional;30
2017;enero;convencional;Con boleto ;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;extranjero;65
2017;enero;convencional;exonerado;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;Nacional;30
